date,trends_Dress,trends_Jeans,trends_Jacket,trends_Skirt,trends_Blouse,sales_Dress,sales_Jeans,sales_Jacket,sales_Skirt,sales_Blouse
2018-01-01,49,77,31,41,49,354,335,296,0,100
2018-02-01,56,73,20,45,66,0,1148,62,1054,0
2018-03-01,78,62,31,62,72,442,177,0,78,78
2018-04-01,92,53,33,66,85,466,547,457,255,422
2018-05-01,78,40,26,65,72,560,484,1266,0,549
2018-06-01,78,52,42,70,50,238,0,916,357,496
2018-07-01,85,60,56,72,48,324,326,458,79,1000
2018-08-01,64,64,63,58,69,91,456,0,675,493
2018-09-01,41,73,82,57,59,73,225,0,586,884
2018-10-01,42,78,84,41,80,388,273,0,893,462
2018-11-01,31,86,88,39,64,0,386,559,461,0
2018-12-01,34,72,38,37,42,178,289,493,961,0
2019-01-01,47,78,19,33,42,0,1124,0,292,77
2019-02-01,43,71,23,47,77,1332,92,0,242,229
2019-03-01,60,48,35,70,70,657,91,378,492,0
2019-04-01,76,56,35,75,80,283,100,161,357,432
2019-05-01,72,53,38,70,53,0,0,0,510,72
2019-06-01,83,76,72,65,51,465,0,246,827,314
2019-07-01,66,62,61,81,56,402,544,0,0,1074
2019-08-01,47,74,82,60,66,711,658,514,857,0
2019-09-01,57,75,88,55,67,90,0,0,247,472
2019-10-01,37,66,86,38,71,467,924,822,0,176
2019-11-01,37,81,78,32,47,58,262,418,910,0
2019-12-01,27,78,37,42,46,501,0,372,897,241
2020-01-01,42,83,25,47,58,96,78,0,1020,465
2020-02-01,60,65,30,59,71,1024,904,52,0,0
2020-03-01,65,76,28,76,77,0,628,531,981,335
2020-04-01,85,46,33,72,63,402,0,130,0,561
2020-05-01,77,58,53,77,55,382,442,337,417,703
2020-06-01,79,75,28,63,67,230,1318,0,0,692
2020-07-01,70,56,63,74,60,321,378,202,849,79
2020-08-01,74,68,61,64,61,128,551,882,0,177
2020-09-01,46,77,78,53,84,539,0,0,660,0
2020-10-01,31,72,90,45,68,296,0,0,0,411
2020-11-01,44,60,82,28,66,176,109,191,235,550
2020-12-01,30,73,23,51,49,108,457,480,921,486
2021-01-01,49,69,27,33,74,512,0,127,462,441
2021-02-01,45,77,38,43,82,426,0,500,430,618
2021-03-01,65,58,27,76,71,184,0,886,1001,0
2021-04-01,84,70,35,79,80,0,0,149,676,1272
2021-05-01,88,48,36,77,73,515,214,218,468,0
2021-06-01,84,56,38,71,69,407,661,0,52,278
2021-07-01,75,72,75,72,50,0,0,682,1100,69
2021-08-01,58,64,80,59,73,272,178,767,209,596
2021-09-01,36,79,66,54,81,745,512,354,0,444
2021-10-01,35,88,84,36,54,0,0,139,1014,253
2021-11-01,35,61,77,43,48,777,801,910,0,384
2021-12-01,49,75,39,34,33,593,157,653,599,300
2022-01-01,51,81,27,36,57,1211,0,487,0,0
2022-02-01,47,81,33,51,75,438,0,239,524,750
2022-03-01,79,56,38,71,86,574,0,0,481,0
2022-04-01,80,49,41,69,74,490,1278,0,52,411
2022-05-01,78,59,27,67,82,527,0,69,855,64
2022-06-01,88,61,42,69,48,473,181,0,681,375
2022-07-01,85,68,55,75,45,0,890,664,77,370
2022-08-01,69,77,71,63,68,427,371,59,398,553
2022-09-01,42,73,98,50,77,493,1001,0,242,0
2022-10-01,39,80,87,44,69,0,313,1085,500,648
2022-11-01,42,77,73,25,42,0,1210,690,537,0
2022-12-01,49,69,41,25,49,200,949,328,0,176
2023-01-01,46,94,51,38,49,2246,1604,858,1857,1117
2023-02-01,61,79,43,53,75,3416,2240,802,2358,1754
2023-03-01,69,58,22,71,77,1999,909,1898,3270,435
2023-04-01,75,65,31,86,67,1836,1942,866,1435,3281
2023-05-01,91,48,48,81,66,2080,1335,1916,2370,1487
2023-06-01,95,66,40,67,51,1825,2315,1256,1901,2168
2023-07-01,77,77,64,74,59,1168,2184,2228,2230,2664
2023-08-01,71,69,83,60,78,1676,2357,2337,2206,2015
2023-09-01,52,87,77,55,67,1970,1849,368,1831,1846
2023-10-01,37,83,84,41,74,1197,1602,2190,2626,2025
2023-11-01,43,82,59,40,56,982,2949,2737,2250,1014
2023-12-01,55,91,26,31,45,1653,1898,2452,3635,1262
2024-01-01,50,79,33,49,60,2352,1606,1017,1758,1212
2024-02-01,76,71,26,68,63,3436,2274,950,2402,1663
2024-03-01,58,61,49,68,71,1893,910,1893,3285,443
2024-04-01,92,55,25,79,66,1888,2059,979,1416,3334
2024-05-01,86,57,35,81,87,2060,1215,1959,2424,1563
2024-06-01,83,64,48,66,61,1875,2197,1204,1952,2237
2024-07-01,79,71,73,77,55,1053,2172,2071,2149,2780
2024-08-01,48,83,66,69,73,1648,2316,2282,2259,1892
2024-09-01,49,81,95,57,75,2013,1726,355,1796,1985
2024-10-01,46,92,86,38,69,1160,1518,2282,2443,1988
2024-11-01,53,75,78,38,66,1054,2808,2869,2219,1023
2024-12-01,39,98,39,42,58,1643,1858,2423,3596,1287
2025-01-01,45,87,38,57,58,2301,1546,1029,1847,1122
2025-02-01,61,71,32,65,67,3567,2197,816,2346,1533
2025-03-01,87,61,37,88,74,1955,960,1858,3188,455
2025-04-01,89,66,34,70,58,1772,2018,988,1368,3194
2025-05-01,82,56,41,83,60,2068,1216,1987,2258,1457
2025-06-01,91,68,53,72,73,1851,2377,1242,1971,2367
2025-07-01,80,73,75,94,75,1070,2231,1993,2192,2897
2025-08-01,72,77,69,64,70,1618,2376,2481,2208,1873
2025-09-01,46,75,100,50,81,1995,1746,356,1839,1973
2025-10-01,42,69,71,41,74,1259,1584,2050,2638,2026
2025-11-01,39,74,85,22,87,1021,3070,2929,2284,943
2025-12-01,34,86,42,36,63,1687,1931,2458,3562,1259
